"","X","Lokacija.","Ukupan.broj.soba.","Cijena.","Površina.","Godina.izgradnje.","Spavaće.sobe.","Kupaonice."
"1540","http://www.remax-svijetnekretnina.com/stan/novigrad-stan-400-m-od-mora","Novigrad",4,109000,60,2006,2,1
"1550","http://www.remax-svijetnekretnina.com/stan/porec-stan-3-km-od-poreca","Poreč",2,155000,72,2006,1,1
"1570","http://www.remax-svijetnekretnina.com/stan/atraktivni-stanovi-sa-pogledom-na-more-novogradnja","Novigrad",3,160000,75.64,2019,2,1
"1624","http://www.remax-svijetnekretnina.com/stan/istrafazana-valbandon-stan-u-izgradnj-97--na-1-katu","Valbandon, Fažana",2,174600,97,2018,1,1
"1635","http://www.remax-svijetnekretnina.com/stan/istra-volme-apartman-s-bazenom-i-vrtom","Pomer, Medulin",3,220000,70,2018,2,2
"1644","http://www.remax-svijetnekretnina.com/apartman/trosobni-apartman-8830--sa-garazom","Kaštel, Buje",4,160000,88.3,2009,2,2
"1676","http://www.remax-svijetnekretnina.com/apartman/medulin-liznjan-visokokvalitetan-apartman-s-predivnim-pogledom-na-more","Ližnjan",3,238650,129,2011,2,1
"1677","http://www.remax-svijetnekretnina.com/apartman/medulin-liznjan-ekskluzivni-apartman-s-vrtom-i-bazenom","Ližnjan",3,270000,146,2011,2,1
"1681","http://www.remax-svijetnekretnina.com/stan/pulagregovica-komforan-dvoetazni-stan-poslovni-prostor-i-okucnica","Gregovica, Pula",6,270000,171.59,2004,5,1
"1696","http://www.remax-svijetnekretnina.com/stan/istra-medulinapartman-u-izgradnji170m-do-morapogled-more","Medulin",2,78930,43.85,2018,1,1
"1703","http://www.remax-svijetnekretnina.com/stan/komforni-trosobni-moderno-uredeni-stan-75--u-centru-umaga","Umag",4,165000,75.75,2009,2,1
"1704","http://www.remax-svijetnekretnina.com/stan/komforni-trosobni-stan-u-novigradu-600-metara-od-plaze","Novigrad",5,130000,70.19,2004,3,2
"1711","http://www.remax-svijetnekretnina.com/stan/istrapula-apartman-sa-pogledom-na-more-3079","Veruda, Pula",1,60000,30.79,1982,1,1
"1715","http://www.remax-svijetnekretnina.com/stan/trosobni-stan-na-prvom-katu-u-musalezu","Mušalež, Poreč",3,99000,96,1989,2,1
"1726","http://www.remax-svijetnekretnina.com/stan/istra-pulavidikovacveliki-stan-u-rohbau-fazi-sa-super-pogledom","Verudela, Pula",3,215640,143.76,2016,2,2
"1747","http://www.remax-svijetnekretnina.com/apartman/istra-medulin-novi-apartmani-170m-do-mora","Medulin",3,113130,62.85,2018,2,1
"1755","http://www.remax-svijetnekretnina.com/stan/umag-zambratija-moderan-stan-150-m-od-mora","Zambratija, Umag",4,255000,120,1998,3,2
"1757","http://www.remax-svijetnekretnina.com/stan/stan-novogradnja-10km-od-poreca","Višnjan",3,110000,77,2015,2,1
"1760","http://www.remax-svijetnekretnina.com/stan/vrsar-stan-u-centru-grada","Vrsar",3,90000,41,1986,2,1
"1786","http://www.remax-svijetnekretnina.com/stan/istra-medulin-novogradnja-dvosban-stan-u-prizemlju-sa-terasom","Medulin",4,200000,94.46,2010,2,1
"1804","http://www.remax-svijetnekretnina.com/apartman/medulin-apartman-s-vrtom","Medulin",3,187000,85,2017,2,1
"1813","http://www.remax-svijetnekretnina.com/stan/komforni-stan-db2-spavace-sobe-na-punti-u-umagu","Umag",4,145000,75,2007,2,1
"1869","http://www.remax-svijetnekretnina.com/stan/stan-u-vrsaru-sa-pogledom-na-more-i-staru-jezgru","Vrsar",4,185000,68,1994,3,1
"1927","http://www.remax-svijetnekretnina.com/stan/krasna-starogradnja-u-strogom-centru-2-parkinga","Centar, Pula",4,239000,154,1925,3,1
"1940","http://www.remax-svijetnekretnina.com/stan/stan-sa-predivnim-pogledom-na-more","Crveni Vrh, Umag",3,445000,112.58,2005,2,2
"1972","http://www.remax-svijetnekretnina.com/stan/vrsar-dva-stana-u-prizemlju-s-okucnicom","Vrsar",2,188700,111,1972,1,1
"1973","http://www.remax-svijetnekretnina.com/stan/vrsar-dva-stana","Vrsar",4,188700,111,1972,3,2
"1974","http://www.remax-svijetnekretnina.com/stan/vrsar-stan-s-terasom","Vrsar",2,136000,80,1972,1,1
"1976","http://www.remax-svijetnekretnina.com/stan/istramarcana-stanvrt-225garaza-50","Marčana",2,105000,62.55,1991,1,1
"1980","http://www.remax-svijetnekretnina.com/stan/vrsar-stan-u-prizemlju-s-okucnicom","Vrsar",3,195000,85,2001,2,1
"2026","http://www.remax-svijetnekretnina.com/apartman/istra-premantura-apartman-6262--u-blizini-rta-kamenjak","Premantura, Medulin",3,120000,62.62,2000,2,1
"2039","http://www.remax-svijetnekretnina.com/stan/porec-okolica-stan-u-obiteljskoj-kuci-s-velikom-okucnicom-i-gradevinskim-zemljistem","Poreč",4,145000,100,1980,3,1
"2061","http://www.remax-svijetnekretnina.com/stan/veliki-stan-sa-vrtom-od-300","Kukci, Poreč",5,170000,173,2002,3,2
"2069","http://www.remax-svijetnekretnina.com/stan/rovinj-stan-u-centru-s-pogledom-na-more","Rovinj",3,300000,55.1,2003,2,1
"2083","http://www.remax-svijetnekretnina.com/stan/porec-stan-u-centru-grada","Poreč",2,89000,36,1950,1,1
"2096","http://www.remax-svijetnekretnina.com/stan/stan-u-potkrovlju-72-3-km-od-poreca","Poreč",3,120000,71.7,2005,2,1
"2133","http://www.remax-svijetnekretnina.com/stan/istra-medulin-trosoban-stan-50-m-od-plaze1","Medulin",4,250000,99.95,2014,2,2
"2146","http://www.remax-svijetnekretnina.com/stan/istra-buje-luksuzna-stambena-jedinica-sa-bazenom","Bibali, Buje",4,218000,120,2007,3,2
"2160","http://www.remax-svijetnekretnina.com/stan/istra-pula-stan-sa-vrtom-i-parkirnim-mjestom","Valdebek, Pula",3,135000,88.48,2006,2,2
"2197","http://www.remax-svijetnekretnina.com/stan/istra-rovinj-trosoban-stan","Rovinj",4,215000,98.44,2010,3,2
"2225","http://www.remax-svijetnekretnina.com/stan/umag-top-lokacija","Umag",3,280000,85,2011,2,1
"2242","http://www.remax-svijetnekretnina.com/stan/pula-volmepredivan-stan-s-pogledom-na-more","Banjole, Medulin",4,255000,82.33,2012,3,2
"2254","http://www.remax-svijetnekretnina.com/stan/porec-dvosobni-stan-na-2-km-od-grada","Poreč",2,75000,39,2008,1,1
"2259","http://www.remax-svijetnekretnina.com/stan/istra-medulin-dvoetazni-stan-u-izgradnji-300-m-od-mora-i-plaze","Medulin",4,201500,111.94,2017,3,2
"2261","http://www.remax-svijetnekretnina.com/stan/medulin-trosoban-stan-u-prizemlju-neposredna-blizina-mora-i-plaze","Medulin",4,176958,98.31,2017,3,2
"2265","http://www.remax-svijetnekretnina.com/stan/medulin-trosoban-stan-u-izgradnji-300-m-od-mora","Medulin",4,197000,109.45,2017,3,2
"2300","http://www.remax-svijetnekretnina.com/stan/novigrad-dvoetazni-stan-vrhunske-kvalitete","Novigrad",3,189000,84.82,2016,2,2
"2303","http://www.remax-svijetnekretnina.com/stan/vrsar-cetverosoban-stan-u-mirnom-dijelu-grada","Vrsar",4,140000,88,1983,3,1
"2312","http://www.remax-svijetnekretnina.com/stan/pula-busoler-lijepi-stan-od-80--u-privatnoj-kuci","Busoler, Pula",3,115000,80,1980,2,1
"2356","http://www.remax-svijetnekretnina.com/stan/dvosoban-stan-nedaleko-od-grada-novigrada-i-mora","Novigrad",3,125000,76.83,2007,2,1
"2360","http://www.remax-svijetnekretnina.com/stan/pula-centar-stan-na-frekventnoj-lokaciji","Centar, Pula",3,100000,67,1951,2,1
"2361","http://www.remax-svijetnekretnina.com/stan/atraktivan-stan-sa-lijepim-pogledom-na-grad-i-more","Novigrad",6,365000,159.75,2007,4,2
"2372","http://www.remax-svijetnekretnina.com/stan/stan-sa-lijepom-okucnicom-u-novigradu","Novigrad",3,140000,53.6,2007,2,1
"2386","http://www.remax-svijetnekretnina.com/stan/medulin-1red-do-mora-moderan-stan-sa-pogledom-na-more","Medulin",4,240000,95.27,2015,3,2
"2399","http://www.remax-svijetnekretnina.com/stan/sijana-stan-sa-3-spavace-sobe","Šijana, Pula",4,120000,75,1990,3,1
"2402","http://www.remax-svijetnekretnina.com/apartman/volme-ekskluzivan-apartman","Banjole, Medulin",4,450000,84,2012,3,2
"2414","http://www.remax-svijetnekretnina.com/stan/duga-uvala-predivan-apartman-sa-odvojenom-spavacom-sobom","Duga Uvala okolica, Marčana",1,55000,37.3,1990,1,1
"2422","http://www.remax-svijetnekretnina.com/apartman/istra-barbariga-dva-apartmana-sa-velikom-terasom","Barbariga, Vodnjan",4,105000,79.41,1988,2,2
"2437","http://www.remax-svijetnekretnina.com/stan/porec-stan-172--s-prekrasnim-pogledom","Poreč",6,365000,172,1990,4,3
"2451","http://www.remax-svijetnekretnina.com/stan/stan-u-neposrednoj-blizini-umaga","Lovrečica, Umag",3,108000,56,2004,2,1
"2462","http://www.remax-svijetnekretnina.com/stan/veruda-stan-za-renoviranje-sa-puno-potencijala","Veruda, Pula",3,95000,83.3,1967,2,1
"2502","http://www.remax-svijetnekretnina.com/apartman/istra-fazana-500m-od-mora-novi-stan-na-odlicnoj-lokaciji","Fažana",3,165000,66,2016,2,1
"2504","http://www.remax-svijetnekretnina.com/stan/ekskluzivno-stan-rovinj-prvi-red-do-mora","Rovinj",5,350000,113,1968,3,2
"2547","http://www.remax-svijetnekretnina.com/stan/porec-dvoetazni-stan-110--u-strogom-centru","Poreč",4,275000,110,1965,3,2
"2560","http://www.remax-svijetnekretnina.com/stan/renovirani-stan-u-austrougarskoj-zgradi","Centar, Pula",5,280000,142,1900,4,2
"2595","http://www.remax-svijetnekretnina.com/stan/pula-stan-sa-pogledom-na-arenu-i-more","Arena, Pula",3,120000,76,1900,2,1
"2597","http://www.remax-svijetnekretnina.com/stan/ekskluzivan-stan-s-panoramskim-pogledom-prvi-red-do-mora","Umag",4,380000,105,2007,3,1
"2618","http://www.remax-svijetnekretnina.com/stan/porec-okolica-trosoban-stan-u-mirnom-okruzenju","Kukci, Poreč",3,114000,63.98,2003,2,1
"2659","http://www.remax-svijetnekretnina.com/stan/pula-vidikovac-prodaje-se-stan-u-obiteljskoj-kuci-8225--prvi-red-do-mora","Vidikovac, Pula",3,170000,82.25,1975,2,1
"2675","http://www.remax-svijetnekretnina.com/stan/istra-liznjan-trosban-dvoetazni-stan-7246--s-pogledom-na-more","Ližnjan",2,120240,72.46,2015,1,1
"2698","http://www.remax-svijetnekretnina.com/stan/stan-za-adaptaciju-u-vodnjanu","Vodnjan",4,95000,128,1900,3,1
"2735","http://www.remax-svijetnekretnina.com/stan/novigrad-2sdb-odlicna-lokacija-terasa-parking-spremiste","Novigrad",3,160000,72,2008,2,2
"2752","http://www.remax-svijetnekretnina.com/stan/valbandonsimpatican-namjesteni-stan-sa-terasom-i-garazom","Valbandon, Fažana",2,120000,68,2007,1,1
"2765","http://www.remax-svijetnekretnina.com/stan/porecprostran-stan-500-m-od-plaze","Poreč",3,139000,83,2005,2,1
"2766","http://www.remax-svijetnekretnina.com/stan/veli-majnov-trosoban-stan-sa-pogledom-na-more","Poreč",3,105000,56,2005,2,1
"2787","http://www.remax-svijetnekretnina.com/stan/stan-u-neposrednoj-blizini-mora","Tar, Tar-Vabriga",3,115000,57,2006,2,1
"2794","http://www.remax-svijetnekretnina.com/stan/novigrad-lijep-topao-osuncan-stan","Novigrad",3,140000,64,2007,2,1
"2813","http://www.remax-svijetnekretnina.com/stan/luksuzan-apartman-s-vrtom-i-pogledom-na-more","Fažana",3,155000,139,2014,2,2
"2814","http://www.remax-svijetnekretnina.com/apartman/luksuzan-penthouse-s-pogledom-na-more-i-velikom-terasom-novo","Fažana",4,260000,128,2014,3,2
"2815","http://www.remax-svijetnekretnina.com/apartman/luksuzan-apartman-s-nevjerovatnim-pogledom-na-more-i-velikom-terasom-novo","Fažana",4,255000,128,2014,3,1
"2856","http://www.remax-svijetnekretnina.com/stan/stan-u-funtani-s-galerijom","Funtana, Vrsar",2,80000,40,1995,1,1
"2868","http://www.remax-svijetnekretnina.com/stan/pula-veruda-porat-stan-u-kuci-486","Veruda, Pula",5,220000,153,1997,4,2
"2869","http://www.remax-svijetnekretnina.com/stan/vrsarluksuzan-stan-100m-od-plaze","Vrsar",4,340000,86,2014,3,2
"2880","http://www.remax-svijetnekretnina.com/stan/pula-centar-stan-u-staroj-gradskoj-jezgri-6916","Centar, Pula",5,160000,69,1900,4,1
"2924","http://www.remax-svijetnekretnina.com/apartman/dvoetazni-apartmansa-tri-terase-i-pogledom-na-more","Premantura, Medulin",4,119000,63,2000,2,1
"2945","http://www.remax-svijetnekretnina.com/apartman/istra-medulin-apartman-s-bazenom-i-pogledom-na-more","Medulin",3,130000,72,2012,2,1
"2962","http://www.remax-svijetnekretnina.com/apartman/novi-apartman-u-liznjanu-povoljno","Ližnjan",3,88000,73.22,2008,2,1
"2988","http://www.remax-svijetnekretnina.com/stan/stan-u-baderni-1kat-5526-","Baderna, Poreč",3,79000,55,2007,2,1
"3011","http://www.remax-svijetnekretnina.com/stan/renoviran-stan-u-staroj-jezgri-poreca","Poreč",4,130000,90,1966,3,1
"3032","http://www.remax-svijetnekretnina.com/stan/lijepi-cetverosoban-stan-u-strogom-centru-pule","Centar, Pula",4,166000,110,1910,3,1
"3035","http://www.remax-svijetnekretnina.com/apartman/istra-medulin-potpuno-namjesten-apartman","Medulin",3,126000,82,2004,2,1
"3047","http://www.remax-svijetnekretnina.com/stan/ekskluzivni-dvoetazni-stan","Stoja, Pula",4,265000,141,2005,3,2
"3061","http://www.remax-svijetnekretnina.com/stan/pula-stan-u-novogradnji-na-verudi-porat","Veruda, Pula",2,85000,47,2010,1,1
"3063","http://www.remax-svijetnekretnina.com/stan/istra-porec-trosoban-stan-s-terasom-i-pogledom-na-more","Poreč",4,185000,109,1999,3,2
"3071","http://www.remax-svijetnekretnina.com/apartman/akcijska-cijena-novogradnje-u-liznjanu","Ližnjan",4,125000,85,2008,3,1
"3098","http://www.remax-svijetnekretnina.com/apartman/novi-apartman-u-prekrasnoj-zgradi-u-liznjanu","Ližnjan",2,105000,76.14,2011,1,1
"3131","http://www.remax-svijetnekretnina.com/stan/novi-apartman-u-peroju","Peroj, Vodnjan",2,71700,43,2007,1,1
"3134","http://www.remax-svijetnekretnina.com/stan/novi-apartman-stan-s-vrtom-u-peroju","Peroj, Vodnjan",2,81000,52,2007,1,1
"3136","http://www.remax-svijetnekretnina.com/apartman/namjesten-apartman-u-premanturi","Premantura, Medulin",2,99000,52,2007,1,1
"3139","http://www.remax-svijetnekretnina.com/stan/novi-dvosobni-apartman-u-peroju","Peroj, Vodnjan",3,101500,61,2007,2,1
"3140","http://www.remax-svijetnekretnina.com/apartman/istra-liznjan-apartman-za-idealan-odmor","Ližnjan",3,110000,63.06,2006,2,1
"3143","http://www.remax-svijetnekretnina.com/stan/okupan-u-suncu-s-vrhunskim-pogledom","Peroj, Vodnjan",3,114000,62,2007,2,1
"3146","http://www.remax-svijetnekretnina.com/stan/otmjen-stan-u-valdebeku","Valdebek, Pula",4,135000,100,2007,3,1
"3147","http://www.remax-svijetnekretnina.com/stan/rovinj-stan-50-s-velikom-natkrivenom-terasom","Rovinj",2,140000,50,2002,1,1
"3149","http://www.remax-svijetnekretnina.com/stan/pula-vvrh-prekrasan-stan-u-istarskom-stilu","Veli vrh, Pula",3,130000,85,2010,2,1
"3153","http://www.remax-svijetnekretnina.com/stan/pula-kastanjer-prekrasan-dvoetazni-stan","Kaštanjer, Pula",4,135000,87,2005,3,1
"3159","http://www.remax-svijetnekretnina.com/stan/istra-puladvoetazni-stan-u-valdebeku","Dolinka, Pula",6,176000,129,2005,4,2
"3171","http://www.remax-svijetnekretnina.com/stan/rovinj-stan-u-kuci-985-u-blizini-plaze","Rovinj",3,240000,98.5,1985,2,1
