"","X","Lokacija.","Ukupan.broj.soba.","Cijena.","Površina.","Godina.izgradnje.","Spavaće.sobe.","Kupaonice."
"295","http://www.remax-svijetnekretnina.com/stan/banjole-volme-trosoban-stan-sa-dvoristem-garazom-i-pogledom-na-more","Banjole, Medulin",4,175000,70,2011,3,3
"299","http://www.remax-svijetnekretnina.com/stan/umag-centar-izvrstan-stan-na-top-lokaciji-100-m-od-mora","Umag",3,139000,68.85,2011,2,2
"307","http://www.remax-svijetnekretnina.com/stan/istra-porec-cervar-porat-odlican-apartman-1-red-do-mora","Červar-Porat, Poreč",3,69000,34,1977,1,1
"319","http://www.remax-svijetnekretnina.com/stan/istra-okolica-pule-barbariga-zgodan-apartman-na-1-katu-novije-zgrade","Barbariga, Vodnjan",2,61000,34.06,2007,1,1
"322","http://www.remax-svijetnekretnina.com/stan/istra-fazana-penthouse-s-pogledom-na-more-i-brijune","Fažana",4,766500,219,2017,3,3
"344","http://www.remax-svijetnekretnina.com/stan/porec-okolica-stan-u-mansardi-s-ogromnom-terasom-i-pogledom-na-more","Poreč",3,170000,90,2010,2,1
"345","http://www.remax-svijetnekretnina.com/stan/istra-barbariga-trosoban-stan-sa-predivnim-pogledom-na-more","Barbariga, Vodnjan",4,190000,100,2019,3,2
"347","http://www.remax-svijetnekretnina.com/stan/istra-barbariga-dvosoban-stan-sa-terasom-i-predivnim-pogledom-na-brijune","Barbariga, Vodnjan",3,149000,78.12,2019,2,1
"348","http://www.remax-svijetnekretnina.com/stan/istra-barbariga-jednosoban-stan-sa-parkingom-i-vrtom-500m-od-plaze","Barbariga, Vodnjan",2,126000,66.11,2019,1,1
"349","http://www.remax-svijetnekretnina.com/stan/porec-stan-od-70-nedaleko-od-nove-skole","Poreč",3,160000,70.21,1990,2,1
"351","http://www.remax-svijetnekretnina.com/stan/istra-barbariga-dvosoban-stan-sa-parkingom-i-vrtom-500m-od-plaze","Barbariga, Vodnjan",3,155000,81.15,2019,2,1
"366","http://www.remax-svijetnekretnina.com/stan/pula-busoler-prodaje-se-dvosoban-stan-na-mirnoj-lokaciji-u-privatnoj-kuci","Busoler, Pula",4,115000,89,1979,2,1
"368","http://www.remax-svijetnekretnina.com/stan/fazana-peroj-apartman-sa-krovnom-terasom-i-pogledom-na-more","Peroj, Vodnjan",3,125000,66.85,2009,2,2
"406","http://www.remax-svijetnekretnina.com/stan/istraporecdva-stana-sa-vlastitim-dvoristem-na-atraktivnoj-lokaciji","Veli Maj, Poreč",6,255000,123.11,1988,4,2
"453","http://www.remax-svijetnekretnina.com/stan/umag-stan-apartman-atraktivna-pozicija-panoramski-pogled-na-more","Umag",5,149000,224.5,1985,4,2
"458","http://www.remax-svijetnekretnina.com/stan/renovirani-cetverosoban-stan-u-strogom-centru-grada","Centar, Pula",5,145950,59,1900,4,1
"460","http://www.remax-svijetnekretnina.com/stan/prilika-novigrad-stan-u-mirnom-djelu-grada","Novigrad",4,110000,80.6,2006,2,1
"465","http://www.remax-svijetnekretnina.com/stan/premantura-apartman-u-blizini-mora","Premantura, Medulin",3,85000,46,2015,2,1
"482","http://www.remax-svijetnekretnina.com/stan/porec-okolica-stan-na-prvom-katu-s-dvije-spavace-sobe","Poreč",3,90000,48,2006,2,1
"506","http://www.remax-svijetnekretnina.com/stan/umag-zanimljiv-stan-na-dobroj-lokaciji-u-blizini-centra","Umag",3,75000,65.82,2000,2,1
"509","http://www.remax-svijetnekretnina.com/stan/porec-stan-na-vrhunskoj-lokaciji-svega-400m-od-mora-i-samog-centra-grada","Poreč",4,189000,102.41,1999,3,2
"512","http://www.remax-svijetnekretnina.com/stan/istra-buje-stan-u-centru-s-fantasticnim-pogledom","Buje",4,57500,47.22,1900,2,1
"534","http://www.remax-svijetnekretnina.com/stan/porec-stan-novogradnja-u-prizemlju","Poreč",3,136100,65.55,2019,2,1
"551","http://www.remax-svijetnekretnina.com/stan/istra-okolica-pule-premantura-apartman-sa-pogledom-na-more","Premantura, Medulin",2,130000,52.01,2005,1,1
"554","http://www.remax-svijetnekretnina.com/stan/porecstan-izuzetne-lokacije-na-svega-300m-od-mora","Poreč",3,185000,75.38,2001,2,1
"557","http://www.remax-svijetnekretnina.com/stan/vizinada-projekt-izgradnje-vile-za-odmor-s-4-spavace-sobe-i-bazenom","Vižinada",5,399000,170,2020,4,5
"562","http://www.remax-svijetnekretnina.com/stan/istra-novigrad-stan-na-odlicnoj-lokaciji-pogled-na-more","Novigrad",2,85000,35.4,2000,1,1
"584","http://www.remax-svijetnekretnina.com/stan/pula-sijana-dvoetazni-trosoban-stan-s-pogledom-na-zelenilo","Ilirija, Pula",4,165000,105.93,2012,3,2
"601","http://www.remax-svijetnekretnina.com/stan/umag-ekskluzivan-dvoetazni-stan-2red-od-mora","Lovrečica, Umag",5,430000,150,2019,4,3
"603","http://www.remax-svijetnekretnina.com/stan/porec-stan-100m-udaljen-od-mora","Červar-Porat, Poreč",4,115000,54.46,1978,2,2
"609","http://www.remax-svijetnekretnina.com/stan/novigrad-stan-prvi-red-do-mora-s-liftom","Novigrad",2,150000,58,2009,1,1
"611","http://www.remax-svijetnekretnina.com/stan/porec-dvosoban-stan-100-metara-od-plaze","Poreč",3,148000,81,1998,2,1
"614","http://www.remax-svijetnekretnina.com/stan/istravalica","Valica, Umag",3,83000,54,1990,2,1
"615","http://www.remax-svijetnekretnina.com/stan/umag-okolica-prekrasan-stan-s-dvoristem","Umag",4,139000,108,2007,2,2
"629","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-apartman-200m-do-mora","Medulin",3,128600,68.66,2019,2,1
"630","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-apartmani-200m-do-mora4","Medulin",3,104400,55.22,2019,2,1
"631","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-apartmani-200m-do-mora3","Medulin",2,70100,38.29,2019,1,1
"639","http://www.remax-svijetnekretnina.com/stan/istra-fazana-dvoetazni-apartman-s-pogledom-na-more","Fažana",3,185000,93,2018,2,2
"651","http://www.remax-svijetnekretnina.com/stan/porec-okolica-osuncan-stan-sa-dvoristem-na-mirnoj-lokaciji","Fuškulin, Poreč",4,125000,102,1992,3,1
"652","http://www.remax-svijetnekretnina.com/stan/centar-pule-stan-sa-3-zasebne-stambene-jedinice-namijenjene-najmu","Centar, Pula",5,180000,113,1900,3,4
"654","http://www.remax-svijetnekretnina.com/stan/porec-prelijep-stan-82--odlicne-lokacije-u-blizini-mora","Poreč",3,215000,82,1995,2,1
"667","http://www.remax-svijetnekretnina.com/stan/krasan-kvalitetan-dvosoban-apartman-u-medulnu","Medulin",3,125000,61,2015,2,1
"705","http://www.remax-svijetnekretnina.com/stan/prilika-novigrad-dvosoban-stan-65","Novigrad",3,99000,64,2006,2,1
"714","http://www.remax-svijetnekretnina.com/stan/umag-centar-stan-na-odlicnoj-lokaciji","Umag",3,125000,70,1991,2,1
"731","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-apartmani-200m-do-mora2","Medulin",3,108850,60.47,2019,2,1
"732","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-apartmani-200m-do-mora1","Medulin",3,104310,57.95,2019,2,1
"733","http://www.remax-svijetnekretnina.com/stan/istramedulinnovi-apartmani-200m-do-mora","Medulin",3,113780,63.22,2019,2,1
"741","http://www.remax-svijetnekretnina.com/stan/umagstan-upredgradu-sa-prekrasnim-pogledom","Finida, Umag",3,125000,56.37,1998,2,1
"754","http://www.remax-svijetnekretnina.com/stan/istra-umag-okolica-stan-85","Umag",3,105000,84.11,2007,2,1
"771","http://www.remax-svijetnekretnina.com/stan/porec-mali-stan-u-starogradskoj-jezgri","Poreč",2,65000,36,1930,1,1
"780","http://www.remax-svijetnekretnina.com/stan/umag-centar-dvoetazni-stan-84","Umag",4,155000,84,1956,2,1
"790","http://www.remax-svijetnekretnina.com/stan/porec-okolica-trosobni-stan-sa-dva-studio-apartmana","Poreč",6,122000,115,1936,5,3
"794","http://www.remax-svijetnekretnina.com/stan/porec-stan-u-prizemlju-sa-200-okucnice","Poreč",3,170000,85.95,2017,2,1
"800","http://www.remax-svijetnekretnina.com/stan/istrabarbarigastan-apartman-s-pogledom-na-more","Barbariga, Vodnjan",2,68000,35.95,1995,1,1
"829","http://www.remax-svijetnekretnina.com/stan/2-stana-od-47--novogradnja","Gregovica, Pula",4,135000,94,2019,2,2
"837","http://www.remax-svijetnekretnina.com/stan/istra-rovinj-ekskluzivan-stan-sa-vrtom-i-garazom","Rovinj",4,290000,99.71,2009,3,2
"845","http://www.remax-svijetnekretnina.com/stan/porec-renovirani-stan-u-starogradskoj-jezgri","Poreč",3,135000,62.72,1900,2,1
"847","http://www.remax-svijetnekretnina.com/stan/istra-okolica-pulevodnjan-stan-u-maloj-kuci-u-nizu-za-renoviranje","Vodnjan",5,58000,58.06,1900,2,1
"853","http://www.remax-svijetnekretnina.com/stan/istrabujestan-sa-prekrasnim-otvorenim-pogledom-na-more","Buje",3,61500,61.31,1980,2,1
"860","http://www.remax-svijetnekretnina.com/stan/porec-stan-u-centru-grada2","Poreč",2,134500,38.35,2020,1,1
"861","http://www.remax-svijetnekretnina.com/stan/porec-centar-novogradnja","Poreč",3,225000,63.99,2019,2,1
"862","http://www.remax-svijetnekretnina.com/apartman/istra-porec-trosoban-stan-sa-prekrasnom-terasom-i-pogledom-na-more","Kukci, Poreč",4,206890,116.51,2016,3,2
"867","http://www.remax-svijetnekretnina.com/stan/istra-umag-moderan-stan-sa-velikom-okucnicom","Umag",4,265000,88.76,2009,3,1
"880","http://www.remax-svijetnekretnina.com/stan/istra-umag-moderni-stan-sa-vrtom-od-75m","Umag",3,206750,85,2019,2,1
"893","http://www.remax-svijetnekretnina.com/stan/ekskluzivan-stan-1-red-do-mora","Pomer, Medulin",4,440000,115,2014,3,2
"895","http://www.remax-svijetnekretnina.com/stan/istra-umag-stan-123m-blizina-centra","Umag",5,89000,122.77,2000,3,2
"896","http://www.remax-svijetnekretnina.com/stan/istra-medulin-prekrasan-stan-141-sa-pogledom-na-more","Medulin",5,250000,141,2006,4,3
"901","http://www.remax-svijetnekretnina.com/stan/istra-porec-trosoban-stan-sa-prekrasnom-terasom-i-pogledom-na-more-300041059-289","Kukci, Poreč",4,192440,113.2,2016,3,2
"905","http://www.remax-svijetnekretnina.com/stan/istrarovinj-fantastican-renovirani-stan-u-satrom-gradu-32","Rovinj",3,97500,32,1900,1,1
"914","http://www.remax-svijetnekretnina.com/stan/porec-stan-od-93-nedaleko-od-mora","Poreč",4,210000,93.55,2008,3,2
"921","http://www.remax-svijetnekretnina.com/stan/stan-62--u-izgradnji-novigrad-istra","Novigrad",2,142882,62,2020,1,1
"922","http://www.remax-svijetnekretnina.com/stan/stan-novigrad-istra-novogradnja","Novigrad",3,191334,85,2020,2,1
"923","http://www.remax-svijetnekretnina.com/stan/dvosoban-stan-u-prizemlju-novigrad-istra-u-izgradnji","Novigrad",3,200572,88,2020,2,1
"925","http://www.remax-svijetnekretnina.com/stan/dvosoban-stan-novigrad-istra-u-izgradnji","Novigrad",3,193218,86,2020,2,1
"926","http://www.remax-svijetnekretnina.com/stan/istrarovinjdvosobni-stan-u-potkrovljugaraza","Rovinj",4,125000,62,2008,2,11
"944","http://www.remax-svijetnekretnina.com/stan/istrarovinjstari-graddvoetazni-stan-68-s-neponovljivim-pogledom","Rovinj",5,298000,68,1900,2,1
"956","http://www.remax-svijetnekretnina.com/stan/istrarovinjstari-gradsavrseni-studio-u-strogom-centru","Rovinj",1,140100,25,1900,1,1
"961","http://www.remax-svijetnekretnina.com/stan/veliki-stan-u-okolici-poreca","Tar, Tar-Vabriga",6,138912,115.76,2008,5,2
"962","http://www.remax-svijetnekretnina.com/stan/veliki-stan-sa-5-spavacih-soba-i-prekrasnim-pogledom-na-more","Tar, Tar-Vabriga",6,137412,114.51,2008,5,2
"963","http://www.remax-svijetnekretnina.com/stan/komfornam-stan-sa-prekrasnim-pogledom-na-more","Tar, Tar-Vabriga",6,161076,134.23,2007,5,2
"966","http://www.remax-svijetnekretnina.com/stan/istrarovinjstari-grad-dvoetazni","Rovinj",1,99000,56,1900,1,1
"967","http://www.remax-svijetnekretnina.com/stan/porec-okolica-stan-na-drugom-katu-s-pogledom-na-more","Tar, Tar-Vabriga",6,165288,137.74,2008,5,2
"970","http://www.remax-svijetnekretnina.com/stan/istrarovinj-stari-graddvoetazni-stan","Rovinj",2,125000,50,1900,1,1
"980","http://www.remax-svijetnekretnina.com/stan/istra-rovinj-stan-u-centru-rovinja-sa-terasom-i-vrtom","Rovinj",6,292000,96,1905,4,1
"986","http://www.remax-svijetnekretnina.com/stan/istra-buje-trosobni-stan-s-pogledom-na-piranski-zaljev","Kaštel, Buje",5,150000,87,2010,2,2
"999","http://www.remax-svijetnekretnina.com/stan/istra-okolica-pule-vodnjan-stan-u-centru-grada","Vodnjan",4,105000,58.61,1900,2,1
"1002","http://www.remax-svijetnekretnina.com/apartman/istra-barbariga-apartman-u-prizemlju-sa-vrtom","Barbariga, Vodnjan",3,93600,55,1990,2,1
"1011","http://www.remax-svijetnekretnina.com/stan/istra-vabriga-stan-u-novogradnji-s-okucnicom","Vabriga, Tar-Vabriga",3,138000,69,2017,2,1
"1012","http://www.remax-svijetnekretnina.com/stan/istra-vabriga-stan-u-prizemlju-s-okucnicom","Vabriga, Tar-Vabriga",3,134000,67,2017,2,1
"1026","http://www.remax-svijetnekretnina.com/stan/vabriga-atraktivan-stan-u-blizini-mora","Vabriga, Tar-Vabriga",2,147000,44.47,2008,1,1
"1046","http://www.remax-svijetnekretnina.com/stan/tar-stan-s-okucnicom-i-pogledom-na-more","Tar, Tar-Vabriga",3,104900,55,2003,1,1
"1075","http://www.remax-svijetnekretnina.com/stan/pulavaldebek-prodaje-se-stan-u-prizemljusa-lijepom-okucnicom","Valdebek, Pula",4,188000,148.96,2007,3,2
"1101","http://www.remax-svijetnekretnina.com/stan/istra-umag-stan-sa-3-spavace-sobe-u-blizini-centra-grada","Umag",4,110000,86.12,1968,3,1
"1112","http://www.remax-svijetnekretnina.com/stan/predivan-stan-u-prizemlju","Radoši kod Žbandaja, Poreč",2,110000,48.18,2006,1,1
"1113","http://www.remax-svijetnekretnina.com/stan/pula-kompletno-renoviran-stan-u-blizini-centra","Centar, Pula",2,93000,67,1900,2,2
"1119","http://www.remax-svijetnekretnina.com/stan/luksuzan-stan-u-centru-poreca-sa-pogledom-na-more","Poreč",4,190000,92.59,1980,2,1
"1148","http://www.remax-svijetnekretnina.com/stan/porec-stan-s-pogledom-na-more","Poreč",3,110000,56,2005,2,1
